type,start_x,start_y,end_x,end_y
ground,300,1650,350,1700
ground,350,1650,400,1700
ground,400,1650,450,1700
ground,450,1650,500,1700
ground,500,1650,550,1700
ground,550,1650,600,1700
ground,600,1650,650,1700
ground,650,1650,700,1700
ground,700,1650,750,1700
ground,750,1650,800,1700
ground,800,1650,850,1700
ground,850,1650,900,1700
ground,900,1650,950,1700
ground,950,1650,1000,1700
ground,1000,1650,1050,1700
ground,1050,1650,1100,1700
ground,1100,1650,1150,1700
ground,1950,1650,2000,1700
ground,2000,1650,2050,1700
ground,3550,1650,3600,1700
ground,3600,1650,3650,1700
ground,3650,1650,3700,1700
ground,4500,1650,4550,1700
ground,4550,1650,4600,1700
ground,4600,1650,4650,1700
ground,4650,1650,4700,1700
ground,4750,1650,4800,1700
ground,4800,1650,4850,1700
ground,4850,1650,4900,1700
ground,4900,1650,4950,1700
ground,4950,1650,5000,1700
ground,5000,1650,5050,1700
ground,5050,1650,5100,1700
ground,5100,1650,5150,1700
ground,5150,1650,5200,1700
ground,5200,1650,5250,1700
ground,5250,1650,5300,1700
ground,5300,1650,5350,1700
ground,5350,1650,5400,1700
ground,5400,1650,5450,1700
ground,5450,1650,5500,1700
ground,5500,1650,5550,1700
ground,5550,1650,5600,1700
ground,5600,1650,5650,1700
ground,5650,1650,5700,1700
ground,5700,1650,5750,1700
ground,5750,1650,5800,1700
ground,5800,1650,5850,1700
ground,5850,1650,5900,1700
ground,5900,1650,5950,1700
ground,5950,1650,6000,1700
ground,6000,1650,6050,1700
ground,6050,1650,6100,1700
ground,6100,1650,6150,1700
ground,6150,1650,6200,1700
ground,6200,1650,6250,1700
ground,6250,1650,6300,1700
ground,6300,1650,6350,1700
ground,6350,1650,6400,1700
ground,6400,1650,6450,1700
ground,6450,1650,6500,1700
ground,6500,1650,6550,1700
ground,6550,1650,6600,1700
ground,6850,1650,6900,1700
ground,6900,1650,6950,1700
ground,6950,1650,7000,1700
ground,7000,1650,7050,1700
ground,7050,1650,7100,1700
ground,7100,1650,7150,1700
ground,7150,1650,7200,1700
ground,7200,1650,7250,1700
ground,7250,1650,7300,1700
ground,7300,1650,7350,1700
ground,7350,1650,7400,1700
ground,7400,1650,7450,1700
ground,7450,1650,7500,1700
ground,7500,1650,7550,1700
ground,7550,1650,7600,1700
ground,7600,1650,7650,1700
ground,7650,1650,7700,1700
ground,7700,1650,7750,1700
ground,7750,1650,7800,1700
ground,7800,1650,7850,1700
ground,7850,1650,7900,1700
ground,7900,1650,7950,1700
ground,7950,1650,8000,1700
ground,8000,1650,8050,1700
ground,8050,1650,8100,1700
ground,8100,1650,8150,1700
ground,8150,1650,8200,1700
ground,8200,1650,8250,1700
ground,8250,1650,8300,1700
ground,8300,1650,8350,1700
ground,8350,1650,8400,1700
ground,8400,1650,8450,1700
ground,8450,1650,8500,1700
ground,8500,1650,8550,1700
ground,8550,1650,8600,1700
ground,8600,1650,8650,1700
ground,8650,1650,8700,1700
ground,8700,1650,8750,1700
ground,8750,1650,8800,1700
ground,8800,1650,8850,1700
